Variable number,"Variable name on Psychopy output file
(time variables in red)",Variable name for analysis in R,"Row number on Psychopy file
(for retrieving the variable)",Description,Language,"Mandatory variable?
(alternative variables in blue)",Condition
1,participant,participant,1,Participant Code,x,YES,
2,group,condition,1,"Group Assignment (odd number = Italian, even number = English; 1 and 2 = Medicine, 3 and 4 = Lever, 5 and 6 = Alien)",x,YES,
3,date,date,1,Date and Time of the Experiment,x,YES,
4,tempo_consenso,t_consenso,3,Time Spent on the Informed Consent Page (in milliseconds),x,YES,
5,tempo_istru,t_istruzioni,4,Time Spent on the Instruction Page (in milliseconds),x,YES,
6,temposam,t_sam,4,Time Spent on the Affective Slider Page (in milliseconds),x,YES,
7,sliderintensity.response,intensita,4,Self-Rating of Emotional Intensity (numeric scale from 0 to 1; 0.5 is the midpoint),ITA / ENG,YES,
8,slidervalence.response,valenza,4,Self-Rating of Emotional Valence (numeric scale from 0 to 1; 0.5 is the midpoint),ITA / ENG,YES,
9,tempo_tasktot,t_task,43,Time Spent on the Associative Task (in milliseconds),x,YES,
10,tempo_vd_dual,t_dual,44,Time Spent on the Main Dependent Variable Page (in milliseconds),x,YES,
11,main_vd_dual,vd_dual,44,"Main Dependent Variable (Illusion of Causality, Y/N))",ITA / ENG,YES,
12,OS,OS,1,Operative system,,,
13,tempo_vd,t_entity,44,x,,,
14,vd.response,entity,44,x,,,
15,SUP1.block_1/Reasoning,Reas1,44,x,,,
,SUP2.block_1/Reasoning,Reas2,44,x,,,
,SUP3.block_1/Reasoning,Reas3,44,x,,,
,SUP4.block_1/Reasoning,Reas4,44,x,,,
,SUP5.block_1/Reasoning,Reas5,44,x,,,
,SUP6.block_1/Reasoning,Reas6,44,x,,,
16,tempo_vd1,t_prev,45,x,,,
17,previous.response,prev,45,x,,,
18,tempo_prob1,t_pr1,45,x,,,
19,previous_2.response,pr1,45,x,,,
20,tempo_prob2,t_pr2,45,x,,,
21,previous_3.response,pr2,45,x,,,
22,DI.block_1/question1,sexI,45,x,,,
23,DI.block_1/question2,ageI,45,x,,,
24,YoI.block_1/NL,NLI,45,x,,,
25,YoI.block_1/AoA,AoAI,45,x,,,
26,DE.block_1/question1,sexE,45,x,,,
27,DE.block_1/question2,ageE,45,x,,,
28,YoE.block_1/NL,NLE,45,x,,,
29,YoE.block_1/AoA,AoAE,45,x,,,
30,cond,condition1,4,x,,,
31,hapremutosi,first,4,x,,,