"","x"
"1","The action the fluffberry did that made it change the colour."
"2","Because the fluffberry may have a change color effect, i considered it effective in most cases"
"3","Almost everytime a Yellowpop ate a Fluffberry it changed color, but there were some ocassions when Yellowpops ate the Fluffberries and did not changed color. Even some of those creatures changed color by itself, in other words, by not eating the Fluffberries. "
"4","The times yellowpop changed colours after eating fluffberry . "
"5","I thought about how in most cases the Fluffberry did change the colour of the Yellowpops, and when it didn't it may have been due to other factors rather than effectiveness. "
"6","The number of times Yellowpop changed color when it ate the Fluffberry was greater than the number of times it ate the Fluffberry and did not change color. The same occurred when Yellowpop did not eat the Fluffberry and did not change color, with this number being greater than when it did not eat the Fluffberry and changed color."
"7","obvious observation and most of the time they change color after eating the flufberry so it has some sort of effect"
"8","i used the observation of the experience, their coulor could changed wheter they ate the fluffberry or not"
"9","Most of time the fluffberry was eaten the yellowpops changed the colour"
"10","i calculated the % of times it effected the colour in my head and i think it was effective 70-80% of the time and when they didnt consume them it was around 20-30% of the time they changed colour"
"11","I decided that the Fluffberry was effective at changing colour because most of the time, eating one caused a colour change, and not eating one didn't"
"12","More often than not, eating this resulted in a color change."
"13","It was effective more than half of the time"
"14","I considered if there was any correlation between a yellowpop eating a fluffberry and it changing colour. I seemed to me that yellowpops were equally likely to change colour whether they had eaten a fluffberry or not. So I deduced there was no correlation."
"15","I found it a difficult question to answer, as I do think there is a correlation between eating the Fluffberry and the Yellowpops changing color, but it might not be the only factor. Off the top of my head, I would say the expected result was seen in about 85% of files. I always assumed the color would change when eating the Fluffberry, as it is the easiest way to count outliers."
"16","I recorded how many times the berry did not behave as it should have according to the experiment.
The creature ate the berry and did not change color - 5
The creature did not eat the berry but changed color anyway - 5

There are few exceptions, but mostly the berry had an effect "
"17","sometimes the yellowpops has changed color even if they haven't eaten the berry"
"18","Based on my observation, about every 4th time of them eating the fluffberry has resulted in them changing colors."
"19","Most of cases, if the yellow creature eats the fluffberry, they change colour, and if they don't eat, they don't change colour. Just a few cases are seen as an execption. Based on that, i thought if I answer the above rules, I got most of questions correct."
"20","Most of the time when they ate one, they changed color. But sometimes they did not. So it makes me not a 100% sure. When they did not eat the fluff berry they did not change most of the time."
"21","How many times eating has corrisponded to the changing color"
"22","It is clear that the fluffberry is not causing them to change color, since some didn't ate the fluffberry and still changed color. Despite it not being a necessary nor sufficient cause (as even if some ate the fluffberry, they didn't change color) a correlation can still be observed, as most of them who ate the berry changed color while most of the ones who didn't stayed yellow. So we might imply that the fluffberry has the effect of influencing the color change: all change color with a low probability, but color change becomes more likely as they eat the berry. Still, it might still be random and despite the distribution, it might have all been a coincidence, as the sample was maybe too little to come to a definitive conclusion, hence why I didn't set the influence of the fluffberry's level to maximum"
"23","because i saw the difference in amount of yellowpops changining their colour based on eating it , i think eating a fluffberry increases chance of changing color but without eating it u still have a chance to change colour so fluffberry is only a booster"
"24","it changed very much, so I would say there's no pattern between the fruit and the change in color"
"25","I saw that the fluffberries significantly increased the likelihood of the yellowpop changing colour, by about 70%. I took it in stages of 10, trying to see how many times the fluffberries made an influence then averaged the results."
"26",NA
"27","I looked at the pattern across the trials and compared how often Yellowpops changed color after eating the Fluffberry versus when they didn't. I based my answer on wherether eating the Fluffberry was consistently followed by color changes."
"28","sometimes the Yellowpops colour changed while not eating a Fluffberry and sometimes it did not change colour after eating a Fluffberry."
"29","in most cases when they did eat they changed color "
"30","The yellowpop changes color even when it has nothing eaten the fluffberry,so to my observation  I do not think the fluffberry was effective "
"31","When they ate it, it was more likely that they changed color. I would say 9 out of 10 would change color. There was a small chance that they didnt. Also they can change color when they didnt eat anything, but the Fluffberry increased that chance by a lot"
"32","THE REASONING IS THAT MOST TIMES THE YELLOWPOPS CHANGED COLOUR WHEN EATING A FLUFFBERRY AND SOMETIMES IT DOESNT WORK "
"33","as i answered yes and no to the yellowpop eating the fluffberry i figured chances of yellowpop changes the color if it has eaten the fruit most of the times and it becomes random if it has not eaten one and that made me sure that the fruit made it more effective to color changing"
"34","Based on the observations, it appears that Fluffberry is effective in changing the color of Yellowpops. In the records, when Yellowpops ate Fluffberry, their color changed to green, suggesting a correlation between Fluffberry consumption and color change. This pattern indicates that Fluffberry likely plays a role in altering the Yellowpops' color."
"35","More often than not, the creatures changed colour when they had eaten a Fluffberry. Thus I came to the conclusion that the edible plays a huge role in increasing the chances of the Yellowpops changing colour than through whatever natural process that is governed by their body."
"36","The Fluffberry had connection to the Yellowpops changing color because in most cases whenever it has eaten the Fluffberry it mostly changes in color and the color does changes even if it did not eat the Fluttberry which means the Fluttberry does play an implact to the ecosystem."
"37","Most times than not, when the Fluffberry was eaten the colour changed of the Yellowpops, only like 1 out of 5-6 times did the colour not change."
"38","The Fluffberry does not have an effect in changing the Yellowpops's color  because sometimes the color change happened even when the Yellowpops did not eat the Fluffberry."
"39","I considered how majority of the yellowpops that ate the fluffberries did change colour. This shows that there is correlation between the fluffberries and the colour change in the yellowpops, however there is a factor not being considered because in some cases some yellowpops that did not eat a fluffberry still experienced a colour change and vice versa for yellowpops that did eat them and still did not change colour. Therefore, I think the effectiveness may lie at a 7/10"
"40","My answer was based on the observation. Even if sometimes the berry did not change their colour and sometimes did, I did not have enough evidence to doubt the berry."
"41","I considered the answers of whether yellowpops changed colour after eating the fluffberry. "
"42","I have noticed that sometimes the yellowpop changes colour even when it doesn't eat the fluffberry, and other times it changes colour when it doesn't eat it, or vice versa .  which means some other factor may be contributing to the changing colour, it might be triggered by their emotion or something else"
"43","I did not consider that there may be other factors regarding the change in their colour. I thought that the Fluffberry was the only way they could change colour.
"
"44","
I looked at the number of times the Fluffberry changed the Yellowpops' color vs. the number of times  it did not"
"45","I said no because there were times were the YELLOWPOPS ate the Fluffberry but did not change color so my conclusion is that there might be something that affects their color but its not fluffberry"
"46","in the trial, there were more times that the yellowpops would not eat the fluffberry and would change color anyway, given the fact that they ate the fluffberry and changed colors eitherway, i concluded that the fluffberry was effective afterall, there rating it at 6 on the scale"
"47","Majority of the time, the fluffberry was effective in changing the yellowpops color but sometimes it was not as effective. i would give it an 80/20 percentage of effectiveness
"
"48","While there were a bunch of yellowpops that didn't eat the fluffberry and still changed colors, the ones that did eat the fluffberry and changed colors were a lot more than those who didn't and changed"
"49","I observed that when the Yellowpop eats a Fluffberry it changes colour most of them time. But I can't confirm the colour change is caused by Fluffberry because when they don't eat it , their colour still changes even when they didn't eat it. It could be that the Yellowpop changes colour naturally and it is only a coincidence that the colour changes after eating the Fluffberry."
"50","It is effective but not 100%, they can also change color without eating it but that is only in a small percentage. "
"51","The fluffberry does have an effect in changing the colour of the yellow pop but not always, it was almost like 90% of the time it changed colour."
"52","The fluffberry changed colour when it was eaten by the yellowpop more than when the yellowpop had not eaten the fluffberry."
"53","I considered the inconsistencies in the outcomes of the Yellowpops eating or not eating the fluffberries. There are times they'd eat it and change color while in other cases they still ate them but didn't change color"
"54","I considered the amount of color change in the observation phase, where the color changed most often when the fluffberry was eaten."
"55","I think the fluffberry  was just food and it didn't actually make it change color"
"56","if it ate the fluffberry then I click it changed the colour otherwise it did not change the colour."
"57","I mean most of the time, when the creature eats that berry, it changes. But sometimes it won't change at all. Sometimes, even if the creature hasn't eaten any berries, it still changes. So I guess it's something about the emotion. Like that fruit raise their emotions. Good ones can make them feel happy and change their color and vice versa."
"58","My expectation was that the Fluffberrys made the Yellowpops change colour however there were too many instances where this was not the case. Also sometimes they didn't eat them and still changed colour."
"59","In most cases, the reasoning was effective, but there were some cases where they didn't eat the fluffberry and their color still changed, or they did eat, and their color didn't change. So there must be some other cause for changing colors that satisfy all cases."
"60","After viewing the records, it appeared the system was effective in shutting down the machine around 70-80% of the time when activated. In reality, that is fairly unpredictable and not a reliable system. I did not realize I would be able to explain my choice; I would have rated it's effectiveness around a 2 instead of the 6 I put."
"61","I gave the answer 8, indication 80% accuracy with fluffberry chanching yellowpop colour, because it wasnt a 100% accurate and it wouldn’t chance its colour personally i felt about 20% of the time"
"62","I considered the numbers or the ratios. The number of Yellowpops who ate the Fluffberry and changed was far greater than those who ate the fluffberry but did not change. On the other hand, the number of Yellowpops who did not eat the fluffberry fruit and didn't change was higher than the number of those who did not eat the fluffberry but changed colour. 

So, most of the Yellowpops that ate the fluffberry fruit changed colour while most of those who did not eat it did not change colour. This is further proved by the fact that, very few Yellowpops who ate the fruit did not change color AND also very few of those who did not eat it but changed colour.
"
"63","Mostly when the yellowpop ate the fluffberry, it changed its color which made me think the fluffberry was effective. It was only in few cases the yellowpop did not  change color after eating the fluffberry which might have been as a result of the amount or quality of the fluffberry eaten."
"64","i jus use simple mind to think that some fliffberry we helping the reactions of changing colours"
"65","The times it did work the NZ-6 because there were more that were effective."
"66","I considered that the NZ-6 system was created ti stop the machine, so I assumed that is what it would always do. My reasoning was that if that was the point of the mechanism, then it should be guaranteed to always work."
"67","It certainly did seem effective as when the NZ-6 was used most of the time, it did stop the machine most of the time. However, I only gave it an 8 as there were certainly cases where it failed, but in the general and combined observations I feel like the percentage of success was signifcantly greater than the failures enough to prove effectiveness."
"68","Although it was effective most of the time, its inefficiencies would cause chaos/stress in a work environment where you can't rely on the NZ-6 to function properly every time"
"69","It wasnt stopping consistently and sometimes would stop even tho NZ-6 was not activated"
"70","i consider how many times the NZ-6 system failed to stop the machine comparing it to the total times used."
"71","Without the NZ-6 the machine had around a 75% chance of failure, which was reduced to 25% with the system. Thus the NZ-6 was able to prevent 66% of failures."
"72","The number of times it has made the machine stop in relation to the times it hasn't made it stop, which had a relation much higher than not pulling the lever."
"73","Mostly, the system when activated did stop the laminatorix, but sometimes, for some reason, it didn't. Also, for some reason it stopped the machine even if it wasn't activated"
"74","Most of the times the NZ-6 system succesfully stopped the machine. It didn't happen as expected in certain ocasions, but I would say that overall it worked fine."
"75","Roughly how often it worked. It usually stopped the machine."
"76","Usually when the system was activated it was successful in stopping except for a few times where it failed
"
"77","i memoryd that most time it does his job"
"78","the NZ-6 did not stop the machine all the time."
"79","i thought of the times when it was able to stop the machine"
"80","The NZ-6 system stopped more often so it was more effective."
"81","I think it was effective sometimes my answer is wrong maybe it's not always effective but it is almost always effective so i considered that most of the times when they eat the Fluffberry they change color so i answered 8 on the scale of 10"
"82","From my observation, activating NZ-6 stopped the machine 70-80% of the time, while not activating it only stopped it around 30% of the time"
"83","It didn't always or even most of the time when activate when pulled additionally it sometimes randomly shut off. It's not safe"
"84","I considered how many times the system was effective in stopping the machine, as well as when the machine stopped by itself without intervention. "
"85","I considered whether it should have stopped if the lever was pulled - if it was pulled, it should ALWAYS stop."
"86","I considered how many times it failed to stop the system, and this was at least 6 times it failed out of at least 25 attempts. That figure seems really high for something to be actually be considered effective."
"87","The majority of the time when the nz-6 was activated, the machine actually stopped. so i thought it was quite effective around 70% of the time, just not all the time."
"88","i answer the questions and i mostly did a percentage of how much effective was the lever system and consider that 30% of the time the lever didn't worked properly and that's why my answer was 7"
"89","The NZ-6 did not work all of the time meaning it was not effective fully"
"90","The NZ-& system needs the Luximar to function correctly and the Luximar is active so the NZ-6 system should function."
"91","I think it failed too many times for it to be effective. The accuracy should be at least 95% for such system."
"92","In many instances that it was activated, it did not stop the machine."
"93","I cosidered the number of times the NZ-6 system was activated and the machine effectively stopped"
"94","The times when the lever was activated, the Laminatorix stopped or not. It was mostly stopped, but there were a few times in which it did not. "
"95","The NZ-6 sometimes worked, and sometimes it didn't. We didn't have to use NZ-6 to stop the machinery"
"96","in some cases, it did/didn't, regardless of whether the NZ-6 system was activated or not"
"97","In generall i trusted it at the beginning very much but than later as i saw that it did not stopped i basically did marked it did not stop every 5 - 10 times it did stop"
"98","The NZ-6 is not effective becouse it does not stop the machine every time, maybe 1/3 times the NZ-6 does not work."
"99","It is a system thet shoud be improved so thet it is 100% efficient"
"100","In the majority of the cases observed, it was effective. "
"101","I just considered how often it failed and succeeded. During the observation phase I was approximately counting in my head that."
"102","The machine didn't do what i wanted"
"103","It wasn't 100% accurate, which means, it could be dangerous"
"104","the fact that Laminatorix didnt stop a few times even though the lever was pulled. Such system should be almost 100% effective"
"105","I' have devided the number of times the machine has been stopped by the total number of times the NZ-6 system has been activated. And if this number is below 70 percent (7/10) then I am going to come to the conclusion that the system was not effective. Given that this number was below 70 percent (7/10) the system is not effective. Or at least in my opinion."
"106","Yes I think it was effective because the majority had functioned properly so if we took a mean we can say yes it was effective regardless for some that was faulty that may require fixing. "
"107","To me it seems as though the NZ-6 was effective more times than I initially expected, and towards the end its successes seemed more than its failures, even if the percentage of those successes is not significantly high."
"108","The NZ-6 system has been effective to the machine when it needs to be manually stopped, without the system it was going to be difficult to function the machine, especially on stopping it."
"109","Well i actually thought of NZ-6 as the AZ-5 button from chernobyl and i felt that the amount of times the system was ineffective would be way too much for the chernobyl plant, and since i believe safety is really important I would not trust the NZ-6 given the current stage."
"110","I considered the fact that sometimes when the NZ-6 system is activated, it does not stop the process like intended, but most of the time it actually does do what it was intended to do."
"111","Well I observed that in some cases the NZ-6 will be effective and some will be not effective so that is why I rated 8."
"112","In many instances the NZ-6 system was effective but in other less instances it was not effective."
"113","I OBSERVED THAT THE MACHINE STOPPED 70% OF THE TIME WHEN THE LEVER WAS PULLED, WHICH LED ME TO CONCLUDE IT IS EFFECTIVE"
"114","From the observations, the NZ-6 system failed to stop the machine only 5 times. Overall, I would still consider it to be effective because it stopped the machine for a vast majority of the time.  "
"115","i went with the instructions that the machine can be stopped by activating a lever. i tried to understand when it could be overloaded"
"116","The NZ-6 was able to stop the Laminatorix in most cases"
"117","That the situation in most cases is vice-versa "
"118","Most of the scenearios where the NZ-6 was used the machine was succesfully stopped and out weigh the times that it did not stop the machine"
"119","The NZ-6 was effective based on the observations I did"
"120","There were sometimes that even though i pulled the lever it did not stop "
"121","The reasoning i considered was the fact that it seemed a though on most scenarios the NZ-6 system didnt stop the machine. And in most cases the machine did stop even without activating the NZ-6 system, so with this being said it seems as thought there is a 50/50 percent chance of it working."
"122","A lot of the time which was 9/10 times it stopped effectively and the other 1 would not stop the machine"
"123","that it does not stop automatic  when full and sometimes was not started"
"124","because most of the time , they changed their color whenever  they take some flufferberry."
"125","Although the NZ-6 system was able to stop the machine but sometimes it didn't which makes the system ineffective because it may or may not work."
"126","I tried to remember the ratio of total attempts in which the NZ6 system was implemented and out of those attempts, how many times it was able to stop the process."
"127","The NZ-6 system worked most of the time. However, there were some instances where the machine did not stop, indicating the system was not really effective and there were some issues that needed to be dealt with. Therefore, I gave it a 7/10"
"128","I said no since it was not effective at stopping the machine at every point when the lever was activated. Although it did work at most times, there were more faults with the lever not stopping the machine. Therefore, I selected no since I would view it as effective if it worked consistently."
"129","If the patient overcame the crisis when they took the medicine. I figured about 30% didn't so that's how I got my answer. "
"130","In the half of times the system was activated, the laminatorix did not stop; so I think this safe system is not efficient"
"131","i considered the number of times that a pattient recovered successfully from the disease after taking babatrim compared to when not taking it"
"132","How often I thought it was successful at treating people vs how often people survived without it"
"133","When it was said that the Batatrim was gonna solve the patient's problems I just reasoned with it and decided to ""play safe"" and had in mind that it was curable so I decided to choose that the patient would overcome it all the time when they took Batatrim."
"134","I considered how many people had taken the medicine and had overcome the crisis in which mist of them did which proved its effectiveness but we must also argue that there may be some genetical factors as some patients came over the crisis without taking the medicine and some didn't taking the medicine"
"135","There are some people who got better without it but amost everyone that took it got treated."
"136","I would say 8/10 times the patient recovered when taking Batatrim as it was effective with most but not all patients. The reasoning for this is based on the results I have just seen in the previous slides."
"137","i considered whether the person recived tratment and it was more favourable that they would recover. Also i thought about if tehy declined and it was steered towards unfavourable so the medcine was the main probale varable to success"
"138","I thought about how many people who have taken Batatrim overcame the crisis compared to how many have not overcome it. The treatment was very effective with only a few people not overcoming it."
"139","Most of the patients that took Batatrim were recovered, however, it was not always the case, so i choose 8/10"
"140","The recovery rate of patients who took the medicine was much higher (about 75% I think) when compared to when patients didn't take Batatrim (about 10%)"
"141","I considered the average number of times the paitent overcame the crisis compared to the total number of times the medication was administed. I also considered the case in which the medicine was not adminstered and how many times the patient survived in this case."
"142","I didn't count how many, but seems like more people who taked Batatrim survived. Despite that, there were people who couldn't, despite the fact that did take the drug"
"143","In general it was more likely to recover from the crisis after taking Batatrim than if not the pacients did not take it. My logic was basicly simple math."
"144","I didnt count but it seemed to be one in around 6-8 patients who took batatrim recovered and only 1 in 6-8 recovered when they didnt take it."
"145","Well majority of the patients who had taken Batatrim proved effective with just a few who didn't overcome the illnes. Whereas when patients didn't take batatrim majority of them didn't overcome the illness only a selected few."
"146","I had very little evidence on which to base the decision but there was a clear correlation between patients surviving if they had taken Batatrium so I presumed that it was 80% effective"
"147","Based on my memory, around 50% of the patients who took Batatrim were cured, as opposed to maybe 10% of patients of who didn;t take Batatrim being cured. That's a significant increase"
"148","I observed that a big percentage of people that were suffering from a crises and took Batatrim recovered from the crisis, however there was a small percentage of people that couldn't recover. On the other hand, the ones that didn't take Batatrim showed both results. The percentage of people that couldn't recover after not taking the Batatrim was bigger than the one that could recover without Batatrim, but it was still considerable. My initial thought about the Batatrim was that it could be around 65% effective, but with the scale available, where I couldn't put decimals I chose the value 7 of effectivity, rather than a 6, because a 6 value seemed too low."
"149","Because some patients did not overcome the crysis of linsday syndrome while some patients did"
"150","I considered the amount of times the patient overcame the crisis with/without Batatrim and whether they can overcome it without Batatrim."
"151","how many people survived after taking it vs not taking it"
"152","From what I saw most of the patients who has taken Batatrim has overcome the crisis, so I decided the drug is most likely effective."
"153","How many patients have taken Batatrim and didn't overcome the crisis"
"154","I considered the patients who were able to recover from the syndrome with the help of batatrim and those who failed to recover "
"155","The majority of patients who took the drug lived, while the majority of people who didn't died."
"156","To me, it was more visible how many patients were saved by the medicine and how many died without it. Thus, I believe in the effectiveness, even though I had a hard time after the first few times it did not work. I started doubting it, but many more rounds later, when I saw that it still saves lives, I realised it is definitely better to trust the medicine most of the times. "
"157","I just tried to summarize all of the patients who recovered or not. From the amount of the recovered patients, I think the Batatrim mostly works, but not everybody will survive. However, minority of the people didn't have to take Batatrim to survive, so this is hard to say if the deaths were caused by Batatrim's side effects or poor performance caused by early development stage."
"158","Most patients that took Batatrim overcame the crisis and most that didn't take Batatrim did not."
"159","Well sometimes it did help and sometimes it did not. 
It felt like it did help more often and the ones that did not take it, had more of the negative outcomes  than positive."
"160","The rate oh patients who had Batatrim and who had effective reaction"
"161","Most patients who used Batatrim were able to overcome the disease"
"162","In my opinion, there's a 50% chance that it will work or not, and I don't think it's really helpful "
"163","The number of patients that have overcome the crisis because they were given Batatrium. The reason was the result of the past questions and the frequency of patients given batatrium overcoming the crisis."
"164","I considered that fact that while still in its testing phase patient who had taken Batatrim stood a higher chance of overcoming the crisis even though it was guaranteed. And while there were patients who over came the crisis without it, there weren't enough to dismiss Batatrim increased probability of aiding the patients ability to overcome the Lindsay syndrome."
"165","I noticed that most patients who took it recovered and most of those that did not they did not recover"
"166","Some patients who took Batatrim did not overcome the crisis, and similarly, some patients who did not take Batatrim did manage to overcome it. However, in most cases, patients who took Batatrim were able to overcome the crisis. Conversely, those who did not take Batatrim generally did not overcome the crisis."
"167","according to the results it is shown that patients are likely to overcome a crisis when they have taken batatrim as opposed to not taking it."
"168","the amount of patients that overcame the crises after using batarim"
"169","it is effective to some patients not all of them, hence i used the probability reasoning"
"170","It was really effective because 98% of the files i had reviewed shown a very good judgement on the cure Batatrim. i followed the instructions i was given before the review."
"171","I considered that there were patients who didn't need Batatrim to get healed, but the scale of those is a bit lower than the ones whom Batatrim was effective to. "
"172","While most patients who used Batatrim recovered from their crises there were also a number of those who did not. I would need more information about each patient to say the drugs is 100% effective. So that's why I took 7."
"173","The number of patients that healed from taking batatrim was higher than the number of patients that did not heal from batatrim, which proves its effectiveness"
"174","the number of those who took batatrism was more compare to those who did not and was more effective."
"175","Batatrim worked on most of my patients which im considering to have been about 80%, hence i have concluded it to have worked "
"176","I did a bit of probability and the person who has the crisis and take Batatrim had a greater chance of surviving by over 55% and contrary to this the chances were significantly much lower, basically a miracle to  survive it without Batatrim"
"177","In 7 out of 10 cases it was effective."
"178","There are so many patients who were cured."
"179","The number of patients who did not take it and recovered is way too low in comparison to the number of people who took it and recovered is high"
"180","In the observation phase the majority of the of patients who took batatrim overcame the disease while the majority of patients who did not take batatrim did not overcome the desease this clearly shows that a patient where to take batatrim they have a higher chance of overcoming the desease"
"181","that it was more likely that patients who had taken batatrim were better after than if they didn't"
"182","Batatrim helped the majority of patients to overcome the crisis, but not all of them did survive, but mostly they survived the crisis."
"183","There was only a handful of cases where patients who took Batatrim or patients patients who didn't take Batatrim recovered. This is why, for the most part, not fully, I think Batatrim is effective."
"184","the rate of patients cured who took batarim and those who did not take batarim"
"185","not all the patients who took the batatrim had overcome the crisis , and not all who didnt take the batatrim didnt overcome the crisis"
"186","In most of the scenarios given earlier, the NZ-6 hadn't followed the base responsibility it was originally intended for, i.e., even when it is activated, most of the time, it couldn't stop lamnetorex, which it should've, hence proving it's not reliable enough, making it inefficient and ineffective"
"187","In the patients' that I was provided with, I realised that many patients, about 70% who had taken Batatrium ended up surviving. Whereas for those who did not take Batatrium, many of them did not survive. This means that Batatrium is very effective."
"188","Almost all the people that took Batatrim were fine, so it was very effective"
"189","I considered the number of patients who overcame the crisis over those who did not"
"190","I observed the amount of people who recovered who had taken Batatrim and I saw that it increased the chances of recovery even though I was not allow constant in treating or helping in recovery."
"191","I seen in the observation phase that most of the patients who took Batatrim, overcome the disease. There were cases of people who took Batatrim, but haven't overcome the disease, but those cases were very rare. There were also cases when patients didn't take Batatrim, but were able to overcome the disease, but I think those cases were pure chance, as from the observation, I seen that the number people who didn't take Batatrim and didn't overcome were higher than people who didn't take Batatrim, and overcome. That's why, I can say Batatrim is 75-80% effective as it's still in testing phase."
"192","Well, I will say that I compared the recovery rates of both who took Batatrim and those who did not. I realized that some patients recovered from the crises even without the medication.I  concluded that irregardless of this ..use of Batatrim increases the chance of survival."
"193","Based on the sample, most of the patients who consume Batatrim have overcome the crisis"
"194","Without a consistent success rate across all subjects, the drug Batatrim cannot be labeled 'fully effective' yet. It could be that there are underlying factors, such as the severity of the condition, genetic differences, or lifestyle variables. "
"195","However there wasnt much information about Batatrim but from the report results I've noticed most of the patients who took batatrim has overcome it but there is still few patients who havent taken batatrim still ovecame the disease"
